code,name,district_code,facility_type,source_uuid
03050,FSU HINNEH D'ABOBO PK18,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3050
01809,GRAND CLINIQUE DU DOKUI,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1809
01317,HG CONFESSIONNEL DE ABOBO CLOUETCHA,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1317
02570,ICT BATAILLON PROJETABLE ABOBO,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2570
09854,ICT D' ABOBO EST,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9854
02569,ICT FORCES SPECIALES N'DOTRE,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2569
02341,INF-LC PUBLIC LYCÉE MODERNE DE ABOBO,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2341
02374,INF-PUBLIC CAMP COMMANDO ABOBO,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2374
03275,INF-PV PRIVEE LA VIE D'ABOBO,101,PV,
01438,ONG ARC-EN-CIEL,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1438
09855,ONG FARAFIN DENI JUNIOR D' ABOBO EST,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9855
02459,ONG LUMIERE ACTION MOBILE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2459
01056,ONG MIBEF,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1056
02835,ONG SAUVONS 2 VIES,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2835
09856,ONG SOLIDARITE PLUS D' ABOBO-EST,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9856
01075,ONG SOURCE DE VIE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1075
01831,POLYCLINIQUE CENTRALE D'ABOBO,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1831
02458,SOCIETE MEDICALE SCHEKINA,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2458
03021,CABINET D’OPTICIEN-LUNETIER CHANAN OPTIQUE,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3021
02846,CENTRE DE SOINS LE PRINCIPAL,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2846
07193,CENTRE MÉDICAL EL BETHEL,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7193
02450,CENTRE MEDICAL LES BEATITUDES,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2450
01840,CENTRE MEDICAL PRIVE ABOBO BANCO,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1840
02311,CLINIQUE FATIMA,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2311
02451,CLINIQUE NAFA,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2451
02310,CLINIQUE RAHMAN,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2310
01982,CM PRIVE CLINIQUE EL RAPHA DE ABOBO,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1982
01984,CM PRIVE CLINIQUE SOUTRA DE ABOBO-SAGBE,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1984
01839,CM PRIVE ESPACE MÉDICAL LE SPHYNX,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1839
03441,CM PRIVE MATERNITE SAINT PAUL,102,PV,
07701,CM PRIVE-ONG SAQUO DE ABOBO,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7701
07027,CMS PUBLIC DE ABOBO,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7027
01173,CSU-DM COMMUNAUTAIRE DE ABOBO-AGOUETO,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1173
03015,CSU-DM PRIVE DE  ABOBO,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3015
01567,CSU-DM PUBLIC ASSAPSU ANONKOUA III DE ABOBO,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1567
00678,CSU-DM PUBLIC ASSOUMIN DE ABOBO,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0678
00611,CSU-DM PUBLIC DE ABOBO BOCABO,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0611
01233,CSUS-SSSU 3 PUBLIC DE ABOBO PK18,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1233
00226,FSU COMMUNAUTAIRE DE ABOBO SAGBE,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0226
00065,FSU COMMUNAUTAIRE DE ANONKOUA-KOUTE,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0065
00612,HG PUBLIC DE ABOBO SUD,102,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0612
00360,ONG COMUPASC,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0360
02449,ONG SMI (SANTE MATERNELLE INFANTILE),102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2449
01609,POLYCLINIQUE LES ETOILES DE ABOBO-OUEST,102,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1609
02828,CENTRE MÉDICAL EMMANUEL EL RAPHA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2828
03135,CENTRE MEDICAL ESPACE CONFIANCE D' ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3135
02827,CENTRE MÉDICAL OLYMPIQUE,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2827
02826,CENTRE MÉDICAL ROUTE D'ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2826
06678,CM ONG AIME TON PROCHAIN DE ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS6678
00806,CSR-D PUBLIC DE AZAGUIE-BLIDA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0806
02829,CSR-D PUBLIC DE DÉBARCADAIRE,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2829
03253,CSR-DM PUBLIC D'ADAROME,103,PB,
02508,CSR-DM PUBLIC D'ADONKOI 2,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2508
08417,CSR-DM PUBLIC DE AHOUABO,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS8417
01418,CSR-DM PUBLIC DE AHOUE,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1418
00187,CSU-DM PUBLIC DE AKOUPE-ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0187
00193,CSR-DM PUBLIC DE ATTIEKOI,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0193
00195,CSU-DM PUBLIC DE ATTINGUIE,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0195
00197,CSU-DM PUBLIC DE BROFODOUME,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0197
00199,CSR-DM PUBLIC DE EBIMPE,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0199
00172,CSR-DM PUBLIC DE IRHO LAME,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0172
00204,CSR-DM PUBLIC DE M'BONOUA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0204
01838,CSR-DM PUBLIC DE M'BRAGO 1 DE ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1838
00202,CSR-DM PUBLIC DE M'PODY,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0202
06677,CSU-D PRIVE SCB  SIEA DE ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS6677
02507,CSU-D PUBLIC D'ALLOKOI,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2507
01981,CSU-D PUBLIC DE ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1981
03134,CSU-DM PUBLIC CISSE D'ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3134
03381,CSU-DM PUBLIC DE ABBEBROUKOI,103,PB,
03383,CSR-DM PUBLIC DE ANYAMA-ADJAME,103,PB,
03380,CSR-DM PUBLIC DE DUBAÏ,103,PB,
03382,CSU-DM PUBLIC DE UNICAFE,103,PB,
07026,CSUS-CDV PUBLIC MAIRIE DE ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7026
07778,HG CONFESSIONNEL SAINT LOUIS ORIONE DE ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7778
00189,HG PUBLIC DE ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0189
01499,INF-LC PUBLIC LYCÉE MODERNE DE ANYAMA,103,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1499
00190,INF-PRIVE CHRIST ROI DE ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0190
06680,INF-PV PRIVE CLINIQUE TITAGA DE ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS6680
