code,region_code,name,source_uuid
1804,18,ZOUKOUGBEU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL99
1901,19,DAOUKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL100
1902,19,MBAHIAKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL101
1903,19,PRIKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL102
2001,20,ABENGOUROU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL103
2002,20,AGNIBILEKROU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL104
2003,20,BETTIE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL105
2101,21,MADINANI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL106
2102,21,ODIENNE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL107
2201,22,DIVO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL112
2202,22,GUITRY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL113
2203,22,LAKOTA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL114
2301,23,BOUAFLE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL115
2302,23,SINFRA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL116
2303,23,ZUENOULA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL117
2401,24,ADZOPE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL108
2402,24,AKOUPE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL109
2403,24,ALEPE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL110
2404,24,YAKASSE-ATTOBROU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL111
2501,25,ARRAH,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL118
2502,25,BONGOUANOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL119
2503,25,M'BATTO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL120
2601,26,BUYO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL121
2602,26,GUEYO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL122
2603,26,MEAGUI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL123
2604,26,SOUBRE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL124
2701,27,BOCANDA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL125
2702,27,DIMBOKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL126
2703,27,KOUASSI KOUASSIKRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL127
2801,28,DIKODOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL128
2802,28,KORHOGO 1,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL129
2803,28,KORHOGO 2,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL130
2804,28,M'BENGUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL131
2805,28,SINEMATIALI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL132
2901,29,SAN-PEDRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL133
2902,29,TABOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL134
3001,30,ABOISSO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL135
3002,30,ADIAKE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL136
3003,30,GRAND-BASSAM,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL137
3004,30,TIAPOUM,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL138
3101,31,FERKESSEDOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL139
3102,31,KONG,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL140
3103,31,OUANGOLODOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL141
3201,32,BIANKOUMA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL142
3202,32,DANANE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL143
3203,32,MAN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL144
3204,32,ZOUAN-HOUNIEN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL145
3301,33,KANI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL146
3302,33,SEGUELA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL147
